RuleName,Description,Severity,Query Frequency,Query Period,Req. modification,Rule ID,Type Of Rule,SOC Status,Scope,LastUpdate
ADCS-003 - Certificate imported into database,The rule detects if certificate imported into its database The imported certificate attributes should be verified. Also verify the legitimacy of this operation.,Low,PT30M,PT30M,Watchlist (CertAuthorities).,adcs142b-r2d2-1001-2023-9bfd09mk1088,Custom,,ADCS,
ADCS-004 - Certificate manager settings changed,"The rule identifies if the certificate manager for Certificate Services changed. This action may indicate tampering with permissions with make users able to enroll on behalf of other users, commonly used to issue smart card certificates.",High,PT10M,PT10M,Watchlist (CertAuthorities).,adcs1b33-ig44-1512-2022-6e3ed8mk1088,Custom,,ADCS,
ADCS-005 - Certificate request attribute changed,"The rule detects if certificate request attributes changed This event is monitored for anomalies and malicious activities, and for the possibility of restricted users and computers changing the attributes of a certificate request. This event should also be monitored for privilege abuse actions as well. Verify that approvment is a valid operation.",Low,PT30M,PT30M,Watchlist (CertAuthorities).,adcs111c-hk47-1001-2023-333c81mk1088,Custom,,ADCS,
ADCS-006 - Certificate request extension change,The rule detects if a certificate request extension changed. Changes in this category of object access events need to be monitored for possible privilege abuse and malicious activities. Verify that approvment is a valid operation.,Low,PT30M,PT30M,Watchlist (CertAuthorities).,adcs648a-hk47-0901-2023-da5c81mk1088,Custom,,ADCS,
ADCS-007 - CRL not been published,"The rule identifies if the CRL is published in the defined time period (threshold). Certificate revocation list (or CRL) is a list of digital certificates that have been revoked by the issuing CA before their scheduled expiration date and should no longer be trusted. A CRL is generated and published periodically, often at a defined interval. A missing CRL can impact the trustworthiness of certificates. We recommend checking the CRL status as soon as possible.",Low,PT1H,P14D,Watchlist (CertAuthorities).,adcs11cb-c3p0-1512-2022-jbl010mk1088,Custom,,ADCS,
ADCS-008 - Cert Authority configuration changed,"The rule detects when a configuration entry as Policy/Exit modules or CDP/AIA extensions changed in Certificate Services. This event is monitored to detect anomalous and malicious activity, and to prevent privilege abuse. Please investigate the legitimacy of the operation.",High,PT10M,PT10M,Watchlist (CertAuthorities).,adcs14ii-ig11-1001-2023-10fd11mk1088,Custom,,ADCS,
ADCS-009 - Cert Authority Restarted or Stopped,The rule monitors the Start and Stop operations of Active Directory Certificate Services. The consequences of stopping or restarting the CA service can have a direct impact on the environment. Please investigate the legitimacy of the operation.,Low,PT30M,PT30M,Watchlist (CertAuthorities).,adcsdbe0-c3p0-1111-2022-2731d3mk1088,Custom,,ADCS,
ADCS-010 - Cert Authority imported and archived a key,"The rule detects if key is imported and archived. This event is monitored to detect anomalous and malicious activity, and to prevent privilege abuse. Verify that approvment is a valid operation.",Low,PT10M,PT10M,Watchlist (CertAuthorities).,adcs222c-c3p0-1001-2023-87jh51mk1088,Custom,,ADCS,
ADCS-011 - Cert Manager approves certificate request,"The rule detects if the Certificate manager approves pending certificate request. Issuance of certificates which require manual approval or certificates that contain usages that allow the owner to perform privileged operations (Enrollment Agent, Code Signing etc.) or certificates issued to VIP users should be monitored. Verify that approvment is a valid operation.",Medium,PT1H,P14D,Threshold - pending times Watchlist (CertAuthorities).,adcs142b-c3p0-0801-2023-9bfd00mk1088,Custom,,ADCS,
ADCS-012 - Cert Manager denied certificate request,"The rule detects if certificate request is denied by certificate manager. This event should be monitored to detect anomalous and malicious activity, and to prevent privilege abuse.",Low,PT30M,PT30M,Watchlist (CertAuthorities).,adcs142b-c3pO-1001-2023-9bfd09mk1088,Custom,,ADCS,
ADCS-013 - CA certificate published to AD,"The rule detects when Certificate services published the CA certificate to Active Directory Domain services. This event is monitored to detect anomalous and malicious activity, and to prevent privilege abuse. Please investigate the legitimacy of the operation.",Low,PT30M,PT30M,Watchlist (CertAuthorities).,e96e142b-1f2e-4475-b3e6-9bfd0c3fc299,Custom,,ADCS,
ADCS-014 - Cert Authority registry value modified,The rule detects if registry value of certification authority was modified. Any changes in CA registries should occur very rare. Please check the changes thoroughly.,High,PT10M,PT10M,Watchlist (CertAuthorities).,adcs8e39-c3p0-1201-2023-e9bd60mk1088,Custom,,ADCS,
ADCS-015 - Cert Authority regular backup not completed,"The rule monitors regular backups of Active Directory Certificate Services. The regular backup should be completed If the backup was not completed in the required time, an incident is generated.",Low,PT1H,P14D,Watchlist (CertAuthorities).,adcs6fa3-ig63-1511-2022-e47481mk1088,Custom,,ADCS,
ADCS-016 - Cert Authority retrieved an archived key,"The rule detects when Certificate services retrieved an archived key. This event is monitored to detect anomalous and malicious activity, and to prevent privilege abuse. Please investigate the legitimacy of the operation.",Medium,PT10M,PT10M,Watchlist (CertAuthorities).,adcs142b-hk47-1001-2023-8j3s08mk1088,Custom,,ADCS,
ADCS-017 - Certificate Revoked,The rule monitors if the certificate is revoked in Certificate Services. We recommend performing a verification if there are a large number of revocations. The incident will be generated if 2 (threshold) or more certificates are revoked.,Low,P1D,P1D,Threshold - pending times Watchlist (CertAuthorities).,adcs2364-hk47-1512-2022-ad22f4mk1088,Custom,,ADCS,
ADCS-018 - Cert Authority role separation state changed,The rule detects if the ADCS Role separation state changed from changes from the expected value. (Set you expected status for each CA). If role separation status changed verify that this is a valid operation.,Medium,PT10M,PT10M,Watchlist (CertAuthorities).,adcs142b-hk47-0501-2023-9bfd09mk1088,Custom,,ADCS,
ADCS-019 - Rows deleted from Certification the database,The rule detects if one or more rows has been deleted from the certificate database. Deleting rows may indicate an attacker covering their tracks after issuing certificates. Verify that this is a valid operation.,High,PT10M,PT10M,Watchlist (CertAuthorities).,adcs4e55-r2d2-0501-2022-333f73mk1088,Custom,,ADCS,
ADCS-020 - Security permissions changed on Certh Authority,The rule monitors if the security permissions for Certificate Services changed. Changes may indicate an attacker granting permissions for other accounts to enroll. Verify that this is a valid operation.,High,PT10M,PT10M,Watchlist (CertAuthorities).,adcs4e44-fc38-1111-2022-697f73mk1088,Custom,,ADCS,
ADCS-021 - Security of certificate template updated,The rule monitors if the ADCS template security was updated. Changes may indicate an attacker granting permissions for other accounts to enroll certificate or modify templates. Verify that this is a valid operation.,Medium,PT30M,PT30M,Watchlist (CertAuthorities).,adcs142b-c3p0-1512-2022-9bfd00mk1088,Custom,,ADCS,
ADCS-022 - Unapproved certificate template loaded,"This rule evaluates loaded templates of Active Directory Certificate Services (ADCS) to the Certification Authority (CA). The rule monitors Event ID 4898 - Certificate Services loaded a template and correlates data from the watchlist 'CertAuthorities'. If it is determined that the parameters of the loaded template (TemplateInternalName, TemplateOID, pKIExtendedKeyUsage, or CaHostName) do not match the approved template, an alert is generated. The alert records: - Date and Time - isApprovedCaHostName, isApprovedCerTemplateName, isApprovedCertTemplateOID, isApprovedpKIExtendedKeyUsage, - CaName, CaHostName - Informations about loaded vs approved template Overall, this rule allows Security team to monitor and control the use of certificates using approved templates, which helps improve security and certificate management in the organization.",Medium,PT10M,PT10M,Watchlist (CertAuthorities).,adcs6bda-r4d2-1512-2022-abc5b3mk1088,Custom,,ADCS,
ADCS-023 - Missing Certification Authority Heartbeat,"This detection will go over the heartbeats received from the agents of Certification Authorities over the last hour, and will create alerts if the last heartbeats were received an hour ago.",High,PT15M,PT2H,Watchlist (CertAuthorities).,adcs0422-c3p0-0701-2023-42c405mk1088,Custom,,ADCS,
ADCS-024 - Successful logon to Certification Authority server,This query detects sucessfull remote or local logon to Certification Authority server. Connecting directly to a certification authority server should be very rare. All administration should be done through terminal servers or administration tools. Please verify the reason for the event,Medium,PT10M,PT10M,Watchlist (CertAuthorities).,adcs041f-r2d2-0701-2023-258a13mk1088,Custom,,ADCS,
AD FS Remote Auth Sync Connection,"This detection uses Security events from the ""AD FS Auditing"" provider to detect suspicious authentication events on an AD FS server. The results then get correlated with events from the Windows Filtering Platform (WFP) to detect suspicious incoming network traffic on port 80 on the AD FS server. This could be a sign of a threat actor trying to use replication services on the AD FS server to get its configuration settings and extract sensitive information such as AD FS certificates. In order to use this query you need to enable AD FS auditing on the AD FS Server. References: https://docs.microsoft.com/windows-server/identity/ad-fs/troubleshooting/ad-fs-tshoot-logging https://twitter.com/OTR_Community/status/1387038995016732672",Medium,P1D,P1D,ADFS svc acc SAN.,c362442e-6f04-402e-8ebf-1ae2cd08a6d3,Out of Box,,ADFS,
ADFS DKM Master Key Export,"Identifies an export of the ADFS DKM Master Key from Active Directory. References: https://blogs.microsoft.com/on-the-issues/2020/12/13/customers-protect-nation-state-cyberattacks/, https://www.fireeye.com/blog/threat-research/2020/12/evasive-attacker-leverages-solarwinds-supply-chain-compromises-with-sunburst-backdoor.html?1 To understand further the details behind this detection, please review the details in the original PR and subequent PR update to this: https://github.com/Azure/Azure-Sentinel/pull/1562#issue-551542469 https://github.com/Azure/Azure-Sentinel/pull/1512#issue-543053339",Medium,P1D,P1D,req SACL.,bc0bce08-3732-439a-b906-f7937064dad1,Out of Box,,ADFS,
Azure Active Directory Hybrid Health AD FS New Server,This detection uses AzureActivity logs (Administrative category) to identify the creation or update of a server instance in an Azure AD Hybrid Health AD FS service. A threat actor can create a new AD Health ADFS service and create a fake server instance to spoof AD FS signing logs. There is no need to compromise an on-premises AD FS server. This can be done programmatically via HTTP requests to Azure. More information in this blog: https://o365blog.com/post/hybridhealthagent/,Medium,PT1H,PT1H,NO.,99879939-efd9-4d3a-8d37-b5fbe106eb41,Out of Box,,ADFS,
Azure Active Directory Hybrid Health AD FS Service Delete,This detection uses AzureActivity logs (Administrative category) to identify the deletion of an Azure AD Hybrid Health AD FS service instance in a tenant. A threat actor can create a new AD Health ADFS service and create a fake server to spoof AD FS signing logs. The health AD FS service can then be deleted after it is no longer needed via HTTP requests to Azure. More information is available in this blog https://o365blog.com/post/hybridhealthagent/,Medium,PT1H,PT1H,NO.,64577ec8-1026-4d39-9185-b37c1e75f776,Out of Box,,ADFS,
Azure Active Directory Hybrid Health AD FS Suspicious Application,This detection uses AzureActivity logs (Administrative category) to identify a suspicious application adding a server instance to an Azure AD Hybrid Health AD FS service or deleting the AD FS service instance. Usually the Azure AD Connect Health Agent application with ID cf6d7e68-f018-4e0a-a7b3-126e053fb88d and ID cb1056e2-e479-49de-ae31-7812af012ed8 is used to perform those operations.,Medium,PT1H,PT1H,NO.,729a7cc3-8b53-4cf0-b25b-647834719343,Out of Box,,ADFS,
Gain Code Execution on ADFS Server via Remote WMI Execution,"This query detects instances where an attacker has gained the ability to execute code on an ADFS Server through remote WMI Execution. In order to use this query you need to be collecting Sysmon EventIDs 19, 20, and 21. If you do not have Sysmon data in your workspace this query will raise an error stating: Failed to resolve scalar expression named ""[@Name]"" For more on how WMI was used in Solorigate see https://www.microsoft.com/security/blog/2021/01/20/deep-dive-into-the-solorigate-second-stage-activation-from-sunburst-to-teardrop-and-raindrop/. The query contains some features from the following detections to look for potentially malicious ADFS activity. See them for more details. - ADFS Key Export (Sysmon): https://github.com/Azure/Azure-Sentinel/blob/master/Detections/SecurityEvent/ADFSKeyExportSysmon.yaml - ADFS DKM Master Key Export: https://github.com/Azure/Azure-Sentinel/blob/master/Detections/MultipleDataSources/ADFS-DKM-MasterKey-Export.yaml",Medium,P1D,P7D,NO.,38720637-bf75-4bfd-8e8f-834bc5c6b4db,Out of Box,,ADFS,
Gain Code Execution on ADFS Server via SMB + Remote Service or Scheduled Task,This query detects instances where an attacker has gained the ability to execute code on an ADFS Server through SMB and Remote Service or Scheduled Task.,Medium,P1D,P7D,NO.,bc3c6f99-b93a-4e57-859b-681154410695,Out of Box,,ADFS,
Active Domain Computers with Outdated Windows OS,"This rule evaluates audit events from the AD_Computers_CL table to identify enabled (active) Windows workstations that are not running the latest versions of the operating system. The rule excludes recently created, re-enabled, or deleted computers and focuses only on devices with the ""Enabled"" flag set to True. Outdated operating systems on active endpoints pose a significant risk, as they may lack security patches and be susceptible to known vulnerabilities. Attackers frequently exploit such systems for initial access, lateral movement, or persistence. Ensuring that active devices are up to date is vital for reducing attack surface and maintaining compliance with organizational security policies. Alert records: - Domain: The Active Directory domain of the computer. - Computer Name: Hostname of the active endpoint. - Canonical Name: Fully qualified domain name (FQDN). - Operating System: OS name and version (e.g., Windows 11 - 26100). - Object OU: Organizational Unit in AD where the object resides. - Created / Last Logon Date: Timestamps to understand the computer's lifecycle. Identifying outdated but active workstations is crucial for ensuring that production devices are secure, fully supported, and not exposing the organization to preventable threats.",Low,PT4H,P3D,"latest version Win OS. SecurityEvent 4722,4741,4743 needed.",ad4b4fb7-ig12-1105-2023-735c09mk1088,Custom,,ADReport,
Active Directory Object do NOT require password,"The rule checks for Computer and User object which have in “userAccountControll” attribute set to value “PASSWD_NOTREQD”. This represents a high security risk as the account is not protected at all without a password. To fix this issue change the value in the attribute. Default UAC values of objects are: User - 512 for enabled, 514 for disabled account. Computer - 4096 for enabled, 4098 for disabled account. More information about “userAccountControll” you can find on https://docs.microsoft.com/en-us/troubleshoot/windows-server/identity/useraccountcontrol-manipulate-account-properties",Medium,PT5H,PT5H,TrustedDomain$.,ad03msba-r2d2-2022-8e5e-6ab324mk1088,Custom,,ADReport,
BitLocker Recovery Key for object computer is missing in AD,"The rule detect if BitLocker Recovery Key for computer objects with Windows OS is missing in Active Directory. Computers created less than 3 days (threshold) are excluded from result for reducing false positive alerts for newly created computers. Active BitLocker and saved keys in Active Directory are important because they ensure encryption of data on computer disk drives. If these elements are turned off or missing, it can mean that data is at risk of leakage and unauthorized access, which can lead to a serious security incident.",Medium,PT4H,P3D,SecurityEvent 4743 needed.,ad1207a7-c3p0-1603-2023-becb35mk1088,Custom,,ADReport,
High value of inactive computer or user objects in AD,"The rule detects high value (threshold is set to 10%) of inactive computer or user objects in Active Directory. Inactivity is an imaginary object that has not logged in for more than 180 days (threshold). Inactive objects often stay in the network because of weaknesses in the decommissioning process. These stale computer or user accounts can be used as backdoors and therefore represents a possible security breach. To mitigate the risk, you should monitor the number of inactive accounts and reduce it as much as possible. A list of all inactive accounts is visible on Inactivity sheet of “Active Directory reports” workbook or directly via LogAnalytics.",Low,P1D,P1D,Thresholds: Inactivity days Obect inactivity %.,ad7d49c2-r2d2-2022-9029-e07ab3mk1088,Custom,,ADReport,
ADHC-001 - Outdated KRBTGT Password in Active Directory,"This rule evaluates audit events from the AD_Users_CL table collected via the AD Healthcheck (AMA) connector to identify KRBTGT accounts whose password has not been changed within the recommended period. The rule monitors the built-in KRBTGT account in Active Directory and detects when the PasswordLastSet value exceeds the defined threshold. An outdated KRBTGT password indicates insufficient Kerberos hygiene and increases security risk. The KRBTGT account is used to sign Kerberos Ticket Granting Tickets (TGTs). If compromised, attackers can forge Kerberos tickets (e.g., Golden Tickets) to maintain persistent and stealthy access. Regular password rotation is therefore critical to limit potential abuse. Alert records: - The Active Directory domain where the KRBTGT account was identified - KRBTGT account details - The timestamp of the last password change - The number of days since the password was last changed Monitoring this activity is essential because the KRBTGT account is central to Kerberos security. Regular password rotation reduces the risk of ticket forgery and helps limit attacker persistence in the environment.",Medium,P1D,P1D,krbtgt SID for custom accounts PWD last set threshold (180d recommended).,ad01msba-r2d2-2022-835e-6ab324mk1088,Custom,,ADReport,
AADR-001 - Access credential added to Microsoft Entra ID Application,"The rule evaluates Microsoft Entra ID audit logs and detects when someone adds a new credential to an Application or Service Principal. If an attacker gains access to an account with sufficient privileges and adds alternate authentication material, they can authenticate as the Application or Service Principal using this credential. The alert records relevant and available details for analysis: - Application name, Object ID, and Client ID - Credential (Key) Information - Initiator, Initiator ID, and Initiator IP Address The rule allows us to promptly detect, analyze, investigate, and respond to unauthorized changes, helping to prevent unauthorized access and potential security breaches. In summary, monitoring the addition of new credentials enhances our security posture by providing early detection and mitigation of potential security risks.",Low,PT30M,PT30M,NO.,aad10d9b-c3p0-0605-2024-apps02mk1088,Custom,Approved,AAD,
AADR-002 - Access from onion (TOR) network,"The rule detects access by a threat actor using the TOR network, which involves monitoring for connections to known TOR exit nodes. When a connection to a TOR exit node is detected, it triggers an alert that identifies: - the source IP address - User Account - Application - Sign-in status TOR exit nodes enable users to obscure their true IP address, making it challenging to trace or identify their actions. This anonymity is often exploited by cybercriminals for malicious activities, such as hacking, data theft, and other attacks. Unrestricted access from TOR exit nodes increases the risk of unauthorized access and brute force attacks. Additionally, TOR allows attackers to bypass geolocation restrictions and access systems meant for trusted networks. Frequent IP changes and encrypted traffic further complicate detection and blocking, making it difficult to identify or prevent potential threats effectively. This rule helps prevent malicious activity from being carried out using the anonymity provided by the TOR network.",High/Informational,PT30M,PT30M,watchlist (TorIpNodes).,20a90273-c3p0-0604-2023-1d4f79mk1088,Custom,Approved,AAD,
AADR-003 - Account Created and Deleted in Short Timeframe,"Search for user principal name (UPN) events. Look for accounts created and then deleted in under 24 hours. Attackers may create an account for their use, and then remove the account when no longer needed. Ref : https://docs.microsoft.com/azure/active-directory/fundamentals/security-operations-user-accounts#short-lived-account",Medium,PT1H,P1D,NO.,aadfc4e3-1986-48d5-90fd-fdbfd3mk1088,Out of Box,Approved,AAD,
AADR-004 - Addition of a Temporary Access Pass to a Privileged Account,"Detects when a Temporary Access Pass (TAP) is created for a Privileged Account. A Temporary Access Pass is a time-limited passcode issued by an admin that satisfies strong authentication requirements and can be used to onboard other authentication methods, including Passwordless ones such as Microsoft Authenticator or even Windows Hello. A threat actor could use a TAP to register a new authentication method to maintain persistance to an account. Review any TAP creations to ensure they were used legitimately. Ref: https://docs.microsoft.com/azure/active-directory/fundamentals/security-operations-privileged-accounts#changes-to-privileged-accounts",High,PT10M,P1D,NO.,aad5e51d-c3p0-2901-2023-d5c659mk1088,Out of Box,Approved,AAD,
AADR-005 - Bulk Export of Group or Users from Microsoft Entra ID,"The rule evaluates Microsoft Entra ID audit logs to detect when a bulk export of groups or users is initiated and completed. A bulk export operation allows large-scale extraction of data, such as user or group information, from Microsoft Entra ID. Monitoring this activity is crucial because unauthorized or suspicious bulk data exports can lead to sensitive information leakage or data theft. Malicious actors may attempt to exploit these bulk export operations to gain unauthorized access to large sets of user or group data, potentially compromising the organization's security. The alert records: - Start and End Times of the export operation - Export type (Group Export or User Export) - Initiator's User Principal Name (UPN), User ID, and IP Address - Result and result descriptions of the operation - Correlation ID linking start and finish events The rule helps to promptly detect, analyze, investigate, and respond to unauthorized or suspicious bulk export activities, allowing security teams to mitigate the risk of data exfiltration. Monitoring bulk exports in Microsoft Entra ID is crucial for ensuring security, preventing data breaches, supporting compliance audits, and maintaining control over sensitive information access. This enables organizations to identify unauthorized activities, manage permissions, and improve overall data security.",Low,PT1H,PT1H,NO.,aad5a079-r2d2-2111-2022-f1d690mk1088,Custom,Approved,AAD,
AADR-006 - Authentication Methods Changed for Account,"This rule evaluates Microsoft Entra ID AuditLogs to detect successful changes to authentication methods for user accounts. The detection focuses on authentication method registration, default security information changes, and administrator-driven security information updates. The rule normalizes registered authentication method details from the audit event and distinguishes between privileged and regular accounts using Microsoft Entra ID role assignments, privileged account naming conventions, and the PrivilegedAccounts watchlist. To reduce false positives, the rule excludes selected expected authentication method changes for non-privileged accounts, such as MFA enrollment enforcement and administrator-required MFA re-registration scenarios. Privileged accounts are always included when matching activity is observed. Alert records: - Time when the authentication method change was observed. - Target account and target account ID. - Whether the target account is considered privileged. - Operation name and result reason. - Normalized registered authentication method. - Initiator identity, initiator type, and initiator IP address when available. - CorrelationId for related audit activity lookup. Authentication method changes can be legitimate, but they may also indicate account compromise or persistence activity if an attacker registers or modifies authentication methods to maintain access, bypass expected controls, or prepare for unauthorized sign-ins.",High/Medium,PT1H,P14D,watchlist (PrivilegedAccounts).,aad40463-161f-2022-b47a-9c2152mk1088,Custom,Approved,AAD,
AADR-007 - Brute force attack against cloud app,"The rule analyzes Microsoft Entra ID (AAD) Sign-in Logs to detect potential brute force attacks on user accounts. It monitors incorrect login attempts (with a threshold set to 5) and tracks subsequent actions after a successful login within a specified time window (threshold of 20 minutes). - If the subsequent action is 'Login Successful,' an alert is triggered, indicating a potentially successful attack. - If the sign-in attempt was blocked by Conditional Access or failed due to unmet MFA requirements, an alert is generated for a potentially unsuccessful attack, which may still indicate a compromise of user credentials. **Alert records:** - Time: The timestamp of the sign-in attempt. - User Principal Name: The username (email) of the account that attempted to sign in. - IP Address: The IP address from which the sign-in attempt was made. - Location: The geographical location associated with the IP address. - Sign-in Status: Whether the sign-in attempt was successful, blocked, or failed. - Failure Reason: If the sign-in attempt failed, the reason for the failure (e.g., incorrect password, MFA required). - Device Information: Details about the device used for the sign-in attempt. - App Name: The application or service the user was trying to access. - Conditional Access Policy: Any conditional access policies that were applied during the sign-in attempt.",Medium,PT1H,PT1H,all optionally AAD reg device TrustedLocation Failure threshold time window.,aad653c4-c3p0-2607-2023-0efb52mk1088,Custom,Approved,AAD,
AADR-008 - Microsoft Entra ID Role Definition Change Activity,"This rule evaluates audit events from the AuditLogs table in Microsoft Entra ID to detect changes to role definitions. It monitors activities categorized under RoleManagement and tracks operations such as Add role definition, Update role definition, and Delete role definition. Modifications to role definitions such as creating, updating, or removing roles, can significantly affect access control within the organization. Unauthorized or misconfigured role changes can lead to privilege escalation, excessive permissions, or disruption of enforcement policies. This rule is designed to capture key details of role definition activity, including the user performing the change, the role affected, and the originating IP address and location. Monitoring these events provides visibility into administrative configuration changes and ensures governance over identity and access privileges. Alert Records: - Time: Timestamp of the role definition change. - Caller: UPN and object ID of the identity that initiated the change. - Operation: Type of action performed (Created, Updated, Deleted). - Role Details: Name, ID, and property metadata of the modified role. - Location: IP address and geographic location (country and city) of the caller. Monitoring role definition changes in Microsoft Entra ID is critical for ensuring the integrity of privileged access management and detecting potential misuse of administrative rights.",Medium,PT30M,PT30M,Watchlist (Azure-Roles).,aad7a7fc-c3p0-0112-2022-32f480mk1088,Custom,Approved,AAD,
AADR-009 - External guest invitation followed by Microsoft Entra ID PowerShell signin,"By default guests have capability to invite more external guest users, guests also can do suspicious Microsoft Entra ID enumeration. This detection look at guests users, who have been invited or have invited recently, who also are logging via various PowerShell CLI. Ref : 'https://danielchronlund.com/2021/11/18/scary-azure-ad-tenant-enumeration-using-regular-b2b-guest-accounts/",Medium,PT1H,P1D,NO.,96b37c64-f091-4df4-840d-f3fc4abb3b6e,Out of Box,Approved,AAD,
AADR-010 - Changes to PIM Settings,"PIM provides a key mechanism for assigning privileges to accounts, this query detects changes to PIM role settings. Monitor these changes to ensure they are being made legitimately and don't confer more privileges than expected or reduce the security of a PIM elevation. Ref: https://docs.microsoft.com/azure/active-directory/fundamentals/security-operations-privileged-accounts#changes-to-privileged-accounts",High,PT5M,PT5M,NO.,ece1cb88-9bab-4186-b9a2-d3b7a80de862,Out of Box,Approved,AAD,
AADR-011 - Log4j vulnerability exploit aka Log4Shell IP IOC,Identifies a match across various data feeds for IP IOCs related to the Log4j vulnerability exploit aka Log4Shell described in CVE-2021-44228. References: https://cve.mitre.org/cgi-bin/cvename.cgi?name=2021-44228,High,PT1H,PT1H,NO.,union1c2-c3p0-2022-8385-57d260mk1088,Out of Box,Approved,AAD,
AADR-012 - Member Assigned to Microsoft Cloud Privileged Group,"This rule evaluates Microsoft Entra ID AuditLogs to identify successful member or owner assignments to privileged cloud groups. The rule detects GroupManagement operations where a user, group, service principal, device, or other object is added as a member or owner to a group considered privileged. A group is treated as privileged when its object ID is listed in the EntraIdPrivilegedGroups watchlist or when its display name matches the configured privileged group naming convention. Alert records: - Time when the assignment was observed. - Assigned target object type, name, and object ID. - Privileged group name and object ID. - Caller identity and caller IP address. - Assignment type and related service context, where available. - Assigned role metadata from the watchlist, where available. Privileged cloud groups may grant access to Microsoft Entra roles, Azure roles, administrative applications, Intune, Azure SQL, Azure Key Vault, third-party applications, or other sensitive resources. Unauthorized membership or ownership changes may create privilege escalation, persistence, or lateral movement opportunities and should be reviewed promptly.",High,PT15M,PT15M,Watchlist (EntraIdPrivilegedGroups).,aad9d0ca-r2d2-2022-a8a8-e36019mk1088,Custom,Approved,AAD,
Membership has been assigned to group via PIM,The rule detect when the membership has been assigned to group via PIM. Be sure to verify this is an expected addition.,Low,PT10M,PT10M,NO.,,Custom,Approved,AAD,
AADR-013 - MFA Disabled for a User,"The rule evaluates attempts to disable MFA on a user account, assuming that MFA is enabled on a per-user basis, meaning MFA is not enforced through Conditional Access policies. The rule records the target account, initiator account, result status, and other details. Multi-Factor Authentication (MFA) helps prevent credential compromise.",Medium,PT1H,PT1H,NO.,aad97c82-4lom-2022-b5e8-2cfdc9mk1088,Custom,Approved,AAD,
